,City,Temp_Farenheit,Humidity,Cloudiness,Windspeed,Latitude,Longitude
395,Margate,70.01,50.00%,0.00%,9.10,-23.58,149.07
396,Ushuaia,46.40,42.00%,75.00%,13.87,58.52,-117.13
397,Kruisfontein,16.46,77.00%,0.00%,3.18,67.46,153.71
398,Badou,60.15,87.00%,40.00%,3.36,-33.93,18.42
399,Bonthe,53.02,66.00%,75.00%,10.29,-42.78,147.06
400,Sayyan,66.20,45.00%,0.00%,6.93,-20.73,139.49
401,Hobart,71.29,30.00%,5.00%,8.05,37.46,-122.43
402,Lagos,55.00,68.00%,24.00%,8.01,-46.19,168.86
403,Saint-Philippe,55.00,68.00%,24.00%,8.01,-46.19,168.86
404,Kapaa,38.32,56.00%,75.00%,26.40,42.65,-73.75
405,Raudeberg,82.60,70.00%,20.00%,16.11,-0.74,-90.35
406,Vaini,28.40,50.00%,90.00%,10.29,55.74,-97.86
407,Deputatskiy,75.22,49.00%,0.00%,12.75,-43.53,172.64
408,Oranjemund,81.26,71.00%,68.00%,4.63,-26.98,-56.83
409,Hobart,76.58,62.00%,0.00%,1.28,-8.93,125.41
410,Mataura,78.96,88.00%,40.00%,11.41,22.08,-159.32
411,Tayu,81.17,45.00%,92.00%,5.97,8.07,22.4
412,Godfrey,50.81,71.00%,75.00%,9.17,-54.81,-68.31
413,Arraial Do Cabo,10.52,100.00%,56.00%,2.62,72.79,-56.15
414,Hobart,55.13,82.00%,20.00%,14.99,37.72,-25.43
415,Melfi,76.76,100.00%,24.00%,18.50,-23.12,-134.97
416,Kapaa,48.45,68.00%,44.00%,3.00,48.23,15.34
417,Ancud,50.81,71.00%,75.00%,9.17,-54.81,-68.31
418,San Patricio,45.00,74.00%,1.00%,4.70,60.79,-161.76
419,Antofagasta,27.08,75.00%,64.00%,6.64,61.28,108.01
420,Port Alfred,81.53,100.00%,36.00%,13.24,3.07,172.79
421,Karauzyak,77.00,65.00%,0.00%,3.36,-22.97,-42.02
422,Busselton,55.00,68.00%,24.00%,8.01,-46.19,168.86
423,Port-Gentil,76.76,100.00%,24.00%,18.50,-23.12,-134.97
424,Hithadhoo,81.53,23.00%,36.00%,12.24,27.97,-114.04
425,Mataura,7.64,92.00%,24.00%,9.66,69.38,178.42
426,Singkawang,38.32,56.00%,75.00%,26.40,42.65,-73.75
427,Pisco,52.39,37.00%,1.00%,20.80,39.31,-74.98
428,Punta Arenas,32.94,82.00%,90.00%,8.95,59.7,30.79
429,Albany,49.21,20.00%,1.00%,8.05,39.6,-110.81
430,Uray,48.20,76.00%,20.00%,5.82,50.7,-127.42
431,Victoria,76.76,100.00%,24.00%,18.50,-23.12,-134.97
432,Bluff,79.75,18.00%,1.00%,5.82,34.11,-118.17
433,High Level,26.60,45.00%,1.00%,11.41,46.26,-83.55
434,Srednekolymsk,59.00,88.00%,88.00%,5.01,-34.42,19.24
435,Cape Town,76.76,100.00%,24.00%,18.50,-23.12,-134.97
436,New Norfolk,44.58,61.00%,40.00%,16.11,33.93,134.5
437,Mount Isa,67.04,39.00%,76.00%,10.67,-46.43,-67.52
438,Half Moon Bay,50.81,71.00%,75.00%,9.17,-54.81,-68.31
439,Mataura,17.09,90.00%,0.00%,4.41,70.62,147.9
440,Mataura,79.29,74.00%,20.00%,6.93,14.6,121.03
441,Albany,55.00,68.00%,24.00%,8.01,-46.19,168.86
442,Puerto Ayora,76.76,100.00%,24.00%,18.50,-23.12,-134.97
443,Thompson,50.81,71.00%,75.00%,9.17,-54.81,-68.31
444,Christchurch,34.52,69.00%,90.00%,11.41,45.36,-73.48
445,San Patricio,76.42,83.00%,40.00%,8.05,-20.34,57.76
446,Airai,53.02,66.00%,75.00%,10.29,-42.78,147.06
447,Kapaa,70.00,28.00%,5.00%,16.11,28.39,-105.62
448,Ouadda,33.80,86.00%,90.00%,10.29,68.22,-135.01
449,Ushuaia,43.68,56.00%,40.00%,11.41,38.85,-90.08
450,Upernavik,45.00,74.00%,1.00%,4.70,60.79,-161.76
451,Vila Franca Do Campo,82.40,65.00%,5.00%,12.75,16.86,-99.88
452,Attawapiskat,62.22,82.00%,0.00%,3.36,-27.56,151.95
453,Rikitea,82.97,100.00%,0.00%,5.41,-0.6,73.08
454,Melk,81.80,100.00%,32.00%,10.78,-9.8,-139.03
455,Ushuaia,34.46,78.00%,0.00%,2.84,45.1,24.1
456,Bethel,62.55,82.00%,24.00%,5.82,-28.95,153.24
457,Yerbogachen,28.70,90.00%,92.00%,14.81,69.49,88.39
458,Butaritari,81.53,23.00%,36.00%,12.24,27.97,-114.04
459,Arraial Do Cabo,55.00,68.00%,24.00%,8.01,-46.19,168.86
460,Sentyabrskiy,79.64,69.00%,32.00%,2.95,10.79,-0.85
461,Mataura,35.55,69.00%,90.00%,20.80,62.45,-114.38
462,Rikitea,76.76,100.00%,24.00%,18.50,-23.12,-134.97
463,Guerrero Negro,21.86,83.00%,56.00%,1.95,29.28,82.18
464,Leningradskiy,66.20,45.00%,0.00%,6.93,-20.73,139.49
465,Albany,32.94,82.00%,90.00%,8.95,59.7,30.79
466,Port Elizabeth,42.96,36.00%,40.00%,21.92,39.62,-77.74
467,Nikolskoye,77.20,69.00%,90.00%,5.82,19.71,-155.08
468,Price,66.20,77.00%,75.00%,16.11,-23.65,-70.4
469,Port Hardy,63.17,96.00%,32.00%,3.85,25.52,90.21
470,Rikitea,42.80,75.00%,40.00%,5.82,-41.43,147.14
471,Olga,24.80,85.00%,90.00%,16.11,69.44,-133.03
472,Thessalon,80.24,74.00%,75.00%,5.82,5.28,115.24
473,Hermanus,62.01,56.00%,64.00%,7.00,8.82,-82.97
474,Rikitea,28.40,50.00%,90.00%,10.29,55.74,-97.86
475,Katsuura,23.03,76.00%,8.00%,6.98,71.64,128.87
476,Mar Del Plata,28.40,50.00%,90.00%,10.29,55.74,-97.86
477,Ushuaia,71.01,55.00%,48.00%,3.00,-38.55,-58.74
478,Chokurdakh,51.46,71.00%,0.00%,12.75,48.95,4.24
479,San Juan,71.45,100.00%,0.00%,8.55,-25.04,33.64
480,Mataura,62.55,82.00%,24.00%,5.82,-28.95,153.24
481,Rikitea,52.73,100.00%,0.00%,4.97,34.7,138.93
482,Ushuaia,38.53,49.00%,68.00%,7.09,50.56,-96.99
483,Saint-Philippe,21.20,37.00%,0.00%,6.93,60.72,-46.03
484,Bambous Virieux,38.32,56.00%,75.00%,26.40,42.65,-73.75
485,New Norfolk,41.67,64.00%,20.00%,1.12,37.05,140.89
486,Lazaro Cardenas,83.78,100.00%,80.00%,7.31,-2.57,150.8
487,Aklavik,28.40,50.00%,90.00%,10.29,55.74,-97.86
488,Roxana,55.18,62.00%,75.00%,17.22,-53.16,-70.91
489,Bethel,67.94,100.00%,88.00%,14.03,-33.59,26.89
490,Acapulco,10.52,100.00%,56.00%,2.62,72.79,-56.15
491,Toowoomba,67.22,74.00%,8.00%,3.74,-20.63,-46
492,Acuna,65.33,90.00%,0.00%,1.05,15.34,74.49
493,Hithadhoo,20.69,85.00%,48.00%,7.20,66.77,123.37
494,Atuona,65.33,90.00%,0.00%,1.05,15.34,74.49
495,Manta,34.00,88.00%,8.00%,1.99,48.65,-53.11
496,Codrington,73.16,71.00%,20.00%,9.33,-13.71,-76.2
497,Talnakh,57.20,87.00%,90.00%,6.93,-42.48,-73.76
498,Guerrero Negro,24.20,86.00%,68.00%,15.03,71.97,114.09
499,Mataura,78.96,88.00%,40.00%,11.41,22.08,-159.32
500,Bolgatanga,57.50,80.00%,20.00%,4.29,-33.21,138.6
501,Attawapiskat,62.65,67.00%,0.00%,9.17,18.39,42.45
502,Yellowknife,77.75,98.00%,88.00%,4.41,-8.9,-35.15
503,Rikitea,73.16,43.00%,80.00%,8.21,-38.31,-60.23
504,Andenes,41.48,73.00%,24.00%,3.29,38.42,77.24
505,Jumla,23.00,73.00%,80.00%,18.34,65.61,-37.64
506,Mount Isa,76.76,100.00%,24.00%,18.50,-23.12,-134.97
507,Nikolskoye,50.81,71.00%,75.00%,9.17,-54.81,-68.31
508,Vardo,45.12,16.00%,1.00%,8.05,39.95,-94.76
509,Hilo,30.32,86.00%,44.00%,7.54,61.94,76.66
510,Antofagasta,68.70,47.00%,80.00%,12.01,-33.64,115.35
511,Tura,32.94,82.00%,90.00%,8.95,59.7,30.79
512,Launceston,59.00,88.00%,88.00%,5.01,-34.42,19.24
513,Tuktoyaktuk,8.36,59.00%,8.00%,2.17,49.98,92.07
514,Victoria,66.20,45.00%,0.00%,6.93,-20.73,139.49
515,San Vito,70.10,73.00%,20.00%,4.29,-10.07,-78.15
516,Tumannyy,69.83,95.00%,32.00%,1.39,-30.17,-50.22
517,Thompson,26.90,100.00%,20.00%,22.53,60.14,-45.24
518,Tiksi,31.13,93.00%,76.00%,3.18,66.32,-179.17
519,Thompson,78.96,88.00%,40.00%,11.41,22.08,-159.32
520,Necochea,23.00,73.00%,80.00%,18.34,65.61,-37.64
521,Saint-Pierre,65.33,90.00%,0.00%,1.05,15.34,74.49
522,Xai-Xai,59.00,88.00%,88.00%,5.01,-34.42,19.24
523,Codrington,34.52,69.00%,90.00%,11.41,45.36,-73.48
524,Shimoda,6.80,60.00%,40.00%,4.70,78.22,15.63
525,Husavik,60.15,87.00%,40.00%,3.36,-33.93,18.42
526,Qaqortoq,24.20,86.00%,68.00%,15.03,71.97,114.09
527,Albany,55.00,68.00%,24.00%,8.01,-46.19,168.86
528,Iwaki,76.42,83.00%,40.00%,8.05,-20.34,57.76
529,Kavieng,32.00,94.00%,0.00%,11.18,55.04,83.4
530,Thompson,78.96,88.00%,40.00%,11.41,22.08,-159.32
531,Punta Arenas,60.15,87.00%,40.00%,3.36,-33.93,18.42
532,Port Alfred,76.76,100.00%,24.00%,18.50,-23.12,-134.97
533,Upernavik,78.93,69.00%,40.00%,8.05,18.22,-63.06
534,Ponta Do Sol,69.29,54.00%,0.00%,4.63,22.6,76.91
535,Vaini,70.28,97.00%,92.00%,2.62,-3.4,38.57
536,Zhigansk,34.10,94.00%,64.00%,1.72,41.09,31.12
537,Vaini,66.23,69.00%,24.00%,1.83,-19.56,18.1
538,Bonavista,20.69,85.00%,0.00%,14.81,67.55,63.78
539,Pisco,52.54,47.00%,0.00%,5.82,45.6,-0.6
540,Castro,65.69,98.00%,32.00%,2.84,-9.35,28.74
541,Saskylakh,55.13,82.00%,20.00%,14.99,37.72,-25.43
542,Kapaa,55.40,71.00%,24.00%,8.05,-31.97,141.45
543,Jamestown,32.52,89.00%,80.00%,5.99,56.55,84.09
544,Faya,55.00,68.00%,24.00%,8.01,-46.19,168.86
545,Sao Jose Da Coroa Grande,80.45,100.00%,0.00%,2.17,-9.11,124.89
546,Barrow,42.80,93.00%,0.00%,3.36,44.55,15.37
547,Shache,30.50,100.00%,64.00%,25.21,70.86,29.09
548,Tasiilaq,76.76,100.00%,24.00%,18.50,-23.12,-134.97
549,Rikitea,38.32,56.00%,75.00%,26.40,42.65,-73.75
550,Odweyne,57.20,87.00%,90.00%,6.93,-42.48,-73.76
551,Ushuaia,7.64,92.00%,24.00%,9.66,69.38,178.42
552,Kodiak,64.16,17.00%,0.00%,6.98,18.69,12.92
553,Novoagansk,36.89,66.00%,0.00%,16.71,54.43,31.9
554,Busselton,55.00,68.00%,24.00%,8.01,-46.19,168.86
555,Nikolskoye,66.59,93.00%,24.00%,6.87,-33.69,-53.46
556,Hermanus,17.45,99.00%,56.00%,2.28,50.63,87.96
557,Ulaangom,57.50,80.00%,20.00%,4.29,-33.21,138.6
558,Mount Isa,64.16,17.00%,0.00%,6.98,18.69,12.92
559,Huarmey,53.54,75.00%,0.00%,3.74,-27.36,29.88
560,Cidreira,40.76,99.00%,36.00%,20.07,64.25,-15.21
561,Nanortalik,29.28,68.00%,75.00%,19.46,43.26,-79.87
562,Egvekinot,6.80,60.00%,40.00%,4.70,78.22,15.63
563,Kapaa,57.14,72.00%,0.00%,4.52,22.68,-3.98
564,Tasiilaq,28.40,50.00%,90.00%,10.29,55.74,-97.86
565,Vaini,67.04,39.00%,76.00%,10.67,-46.43,-67.52
566,Hermanus,24.20,86.00%,68.00%,15.03,71.97,114.09
567,Saint-Philippe,77.00,65.00%,0.00%,3.36,-22.97,-42.02
568,Longyearbyen,21.20,73.00%,20.00%,4.70,43.28,142.47
569,Cape Town,53.02,66.00%,75.00%,10.29,-42.88,147.33
570,Saskylakh,84.20,62.00%,20.00%,9.17,15.86,-97.07
571,Mataura,67.94,100.00%,88.00%,14.03,-33.59,26.89
572,Bambous Virieux,43.23,100.00%,20.00%,3.36,35.73,140.83
573,Plotnikovo,68.00,68.00%,0.00%,20.80,14.69,-16.54
574,Kapaa,-3.53,85.00%,44.00%,4.41,77.48,-69.36
575,Cape Town,50.88,87.00%,20.00%,4.70,34.92,32.53
576,Rikitea,14.00,72.00%,56.00%,9.17,69.22,-51.1
577,The Valley,47.42,78.00%,0.00%,4.41,41.42,-6.55
578,Khategaon,77.00,94.00%,12.00%,9.17,-21.21,-159.78
579,Voi,23.30,74.00%,24.00%,6.42,63.01,112.47
580,Akcakoca,70.37,100.00%,88.00%,4.97,0.52,25.21
581,Nguiu,57.20,87.00%,90.00%,6.93,-42.48,-73.76
582,Grootfontein,35.60,93.00%,90.00%,17.22,65.28,-126.83
583,Komsomolskiy,61.61,100.00%,90.00%,11.41,-34.58,150.85
584,Souillac,28.79,95.00%,92.00%,9.22,71.98,102.47
585,Nchelenge,79.46,46.00%,8.00%,7.20,13.79,-15.05
586,Vila Franca Do Campo,82.40,69.00%,20.00%,12.75,17.88,-76.41
587,Broken Hill,10.52,100.00%,56.00%,2.62,72.79,-56.15
588,Melnikovo,55.00,68.00%,24.00%,8.01,-46.19,168.86
589,Mataura,55.18,62.00%,75.00%,17.22,-53.16,-70.91
590,Atambua,49.06,45.00%,1.00%,3.36,64.84,-147.72
591,Gospic,76.76,100.00%,24.00%,18.50,-23.12,-134.97
592,Berlevag,56.06,69.00%,56.00%,2.73,8.81,40.52
593,Rikitea,77.97,74.00%,75.00%,10.29,-22.92,-42.82
594,Albany,59.00,88.00%,88.00%,5.01,-34.42,19.24
595,Castro,79.00,78.00%,5.00%,8.05,17.97,-66.91
596,Leningradskiy,55.00,68.00%,24.00%,8.01,-46.19,168.86
597,Bilma,60.15,87.00%,40.00%,3.36,-33.93,18.42
598,Sobolevo,35.55,69.00%,90.00%,20.80,62.45,-114.38
599,Mataura,70.55,93.00%,92.00%,12.24,-35.17,173.16
600,Chuy,85.49,83.00%,0.00%,9.22,11.28,-15.83
601,Ulagan,59.00,88.00%,88.00%,5.01,-34.42,19.24
602,Jamestown,50.81,71.00%,75.00%,9.17,-54.81,-68.31
603,Bilma,-3.53,85.00%,44.00%,4.41,77.48,-69.36
604,Volksrust,60.11,92.00%,0.00%,2.51,-25.41,-70.49
605,Hofn,28.40,50.00%,90.00%,10.29,55.74,-97.86
606,Hamilton,78.29,89.00%,8.00%,3.62,15.89,120.27
607,Longyearbyen,74.51,89.00%,88.00%,3.62,10.47,-68.01
608,Taoudenni,38.32,56.00%,75.00%,26.40,42.65,-73.75
609,Thompson,50.81,71.00%,75.00%,9.17,-54.81,-68.31
610,Mar Del Plata,69.74,66.00%,88.00%,2.39,-22.45,18.97
611,Saskylakh,60.80,87.00%,0.00%,10.29,-34.53,20.04
612,Arraial Do Cabo,38.32,56.00%,75.00%,26.40,42.65,-73.75
613,Furano,52.46,61.00%,8.00%,2.73,29.11,58.36
614,Hobart,75.07,64.00%,0.00%,16.11,-12.06,-77.04
615,Vaitupu,80.02,61.00%,40.00%,9.17,19.55,-71.08
616,Taolanaro,78.80,88.00%,56.00%,10.29,-19.06,-169.92
617,Puerto Escondido,55.18,62.00%,75.00%,17.22,-53.16,-70.91
618,Port Alfred,73.16,43.00%,80.00%,8.21,-38.31,-60.23
619,Hasaki,78.96,88.00%,40.00%,11.41,22.08,-159.32
620,Nizhneyansk,38.32,56.00%,75.00%,26.40,42.65,-73.75
621,Gat,29.70,61.00%,40.00%,6.71,52.21,104.21
622,Qaanaaq,52.82,51.00%,12.00%,7.54,29.03,21.55
623,Lasa,81.80,100.00%,32.00%,10.78,-9.8,-139.03
624,Ilulissat,79.55,99.00%,0.00%,10.56,11.28,49.18
625,Saldanha,59.00,88.00%,88.00%,5.01,-34.42,19.24
626,Avarua,26.90,100.00%,20.00%,22.53,60.14,-45.24
627,Taolanaro,80.60,74.00%,76.00%,5.82,4.94,-52.33
628,Chernyshevskiy,73.16,43.00%,80.00%,8.21,-38.31,-60.23
629,Kisangani,52.54,57.00%,75.00%,10.29,30.04,-94.42
630,Castro,42.96,36.00%,40.00%,21.92,39.62,-77.74
631,Norman Wells,20.69,85.00%,0.00%,14.81,67.55,63.78
632,Flinders,77.93,100.00%,92.00%,6.64,7.98,49.82
633,Khatanga,55.18,62.00%,75.00%,17.22,-53.16,-70.91
634,Nioro,83.24,100.00%,0.00%,7.87,11.67,92.75
635,Rungata,55.18,62.00%,75.00%,17.22,-53.16,-70.91
636,Morant Bay,35.22,86.00%,88.00%,13.87,61.99,5.14
637,Upernavik,47.93,100.00%,90.00%,14.99,41.28,-70.1
638,Mataura,50.81,71.00%,75.00%,9.17,-54.81,-68.31
639,Punta Arenas,35.99,92.00%,88.00%,10.45,56.95,90.69
640,Fairbanks,51.80,93.00%,90.00%,3.18,-37.83,140.78
641,Rikitea,82.60,70.00%,20.00%,16.11,-0.74,-90.35
642,Gelemso,21.20,37.00%,0.00%,6.93,60.91,-46.05
643,Marica,48.60,27.00%,1.00%,4.41,39.95,-105.17
644,Hermanus,50.81,71.00%,75.00%,9.17,-54.81,-68.31
645,Guanica,33.80,86.00%,90.00%,10.29,68.22,-135.01
646,Mataura,32.94,82.00%,90.00%,8.95,59.7,30.79
647,Cape Town,50.97,61.00%,0.00%,2.28,44.83,-0.61
648,Yellowknife,50.81,71.00%,75.00%,9.17,-54.81,-68.31
649,Ahipara,55.00,68.00%,24.00%,8.01,-46.19,168.86
650,Bubaque,34.09,55.00%,0.00%,10.29,62.49,17.33
651,Hermanus,76.76,100.00%,24.00%,18.50,-23.12,-134.97
652,Pemangkat,78.96,88.00%,40.00%,11.41,22.08,-159.32
653,Ushuaia,45.00,87.00%,0.00%,8.05,51.04,-4.21
654,Qaanaaq,72.53,100.00%,20.00%,5.19,-33.02,27.91
655,Taltal,76.58,62.00%,0.00%,1.28,-8.93,125.41
656,Thompson,65.24,100.00%,76.00%,29.57,-34.05,23.37
657,Bani,37.07,92.00%,0.00%,3.18,57.59,9.96
658,Puerto Cabello,56.51,28.00%,8.00%,10.78,-30.97,22.13
659,Albany,80.60,74.00%,76.00%,5.82,4.94,-52.33
660,Ushuaia,77.20,69.00%,90.00%,5.82,19.71,-155.08
661,Samusu,50.81,71.00%,75.00%,9.17,-54.81,-68.31
662,Gobabis,54.57,71.00%,75.00%,20.80,35.12,25.72
663,Bredasdorp,43.46,61.00%,12.00%,4.63,36.74,69.54
664,Albany,89.60,66.00%,20.00%,4.70,-17.73,-149.15
665,Bam,60.11,92.00%,0.00%,2.51,-25.41,-70.49
666,Jibuti,67.04,39.00%,76.00%,10.67,-46.43,-67.52
667,Lima,62.09,100.00%,32.00%,2.17,-34.72,135.86
668,Mao,55.00,68.00%,24.00%,8.01,-46.19,168.86
669,Alofi,72.53,93.00%,0.00%,2.95,-2.55,14.76
670,Punta Arenas,57.50,80.00%,20.00%,4.29,-33.21,138.6
671,Barrow,55.18,62.00%,75.00%,17.22,-53.16,-70.91
672,Kapaa,80.27,52.00%,8.00%,5.19,14.03,-0.03
673,Albany,81.80,100.00%,32.00%,10.78,-9.8,-139.03
674,Markova,77.84,65.00%,0.00%,13.02,11,122.67
675,Jalu,73.79,88.00%,32.00%,2.39,-5.36,104.98
676,Atuona,76.76,100.00%,24.00%,18.50,-23.12,-134.97
677,Bosaso,44.81,93.00%,68.00%,3.74,-45.03,168.66
678,Hermanus,45.00,74.00%,1.00%,4.70,60.79,-161.76
679,Nanortalik,87.89,66.00%,75.00%,9.17,14.51,-92.19
680,Cayenne,81.53,87.00%,0.00%,4.74,7.53,-12.5
681,Barrow,57.50,80.00%,20.00%,4.29,-33.21,138.6
682,Nome,82.60,70.00%,20.00%,16.11,-0.74,-90.35
683,Vardo,76.51,83.00%,40.00%,8.05,-20.01,57.66
684,Komsomolskiy,44.58,61.00%,40.00%,16.11,33.93,134.5
685,Eyl,55.18,62.00%,75.00%,17.22,-53.16,-70.91
686,Punta Arenas,70.01,50.00%,0.00%,9.10,-23.58,149.07
687,Port Blair,81.80,100.00%,32.00%,10.78,-9.8,-139.03
688,Punta Arenas,68.70,47.00%,80.00%,12.01,-33.64,115.35
689,Raudeberg,70.55,93.00%,92.00%,12.24,-35.17,173.16
690,Nantucket,32.50,69.00%,40.00%,13.87,62.58,6.12
691,Ushuaia,34.52,69.00%,90.00%,11.41,45.36,-73.48
692,Novobirilyussy,76.41,83.00%,40.00%,8.05,-20.41,57.7
693,Mount Gambier,78.80,39.00%,0.00%,8.77,-45.87,-67.48
694,Puerto Ayora,44.78,86.00%,40.00%,2.24,36.66,137.31
695,Narsaq,59.30,100.00%,68.00%,24.87,38.52,-28.7
696,Superior,44.78,86.00%,40.00%,2.24,36.66,137.31
697,Ushuaia,82.34,77.00%,32.00%,2.39,-8.27,-72.74
698,Aklavik,83.96,100.00%,0.00%,11.45,10.57,72.64
699,Nikolskoye,68.04,32.00%,1.00%,4.70,45.86,-122.81
700,Saint-Augustin,80.02,61.00%,40.00%,9.17,19.55,-71.08
701,Ushuaia,46.00,83.00%,48.00%,3.40,40.36,-7.35
702,Mataura,43.23,100.00%,20.00%,3.36,35.73,140.83
703,Timra,73.79,31.00%,12.00%,10.45,-29.67,22.74
704,Rikitea,45.00,74.00%,1.00%,4.70,60.79,-161.76
705,Kapaa,41.94,65.00%,0.00%,1.12,43.52,20.24
706,Northam,76.41,83.00%,40.00%,8.05,-20.41,57.7
707,East London,81.35,96.00%,76.00%,4.41,8.64,-83.17
708,Airai,78.96,88.00%,40.00%,11.41,22.08,-159.32
709,Plettenberg Bay,54.79,37.00%,20.00%,14.99,45.79,-108.5
710,Hirtshals,68.95,28.00%,1.00%,3.36,39.15,-123.21
711,Carnarvon,30.20,42.00%,75.00%,5.82,49.72,-86.95
712,Cayenne,38.32,56.00%,75.00%,26.40,42.65,-73.75
713,Hilo,89.38,52.00%,75.00%,16.11,11.24,-74.21
714,Ushuaia,52.88,71.00%,0.00%,12.75,48.95,4.37
715,Pirgos,84.20,35.00%,40.00%,4.70,-33.01,-68.8
716,Taloqan,-3.53,85.00%,44.00%,4.41,77.48,-69.36
717,Tautira,68.70,47.00%,80.00%,12.01,-33.64,115.35
718,Taltal,40.76,99.00%,36.00%,20.07,64.25,-15.21
719,Mar Del Plata,38.32,56.00%,75.00%,26.40,42.65,-73.75
720,Port Lincoln,60.15,87.00%,40.00%,3.36,-33.93,18.42
721,Mataura,30.20,86.00%,90.00%,7.54,64.42,-173.23
722,Djambala,39.88,75.00%,0.00%,9.17,52.47,1.45
723,Jamestown,77.66,92.00%,88.00%,5.97,13.72,123.58
724,Punta Arenas,77.00,65.00%,0.00%,3.36,-22.97,-42.02
725,Dori,60.83,81.00%,8.00%,18.72,-26.65,15.16
726,Atuona,50.81,71.00%,75.00%,9.17,-54.81,-68.31
727,Dingle,68.70,47.00%,80.00%,12.01,-33.64,115.35
728,Pringsewu,70.01,50.00%,0.00%,9.10,-23.58,149.07
729,Rikitea,59.00,88.00%,88.00%,5.01,-34.42,19.24
730,Queenstown,40.76,99.00%,36.00%,20.07,64.25,-15.21
731,Bethel,66.59,93.00%,24.00%,6.87,-33.69,-53.46
732,Ocos,66.68,61.00%,56.00%,2.95,3.52,39.05
733,Bonthe,82.97,100.00%,0.00%,5.41,-0.6,73.08
734,Jamestown,15.29,73.00%,0.00%,2.62,52.16,109.78
735,Puerto Ayora,51.08,71.00%,20.00%,13.87,29.7,-91.21
736,Grand Gaube,83.87,100.00%,0.00%,5.41,-16.48,-151.75
737,Katsuura,76.76,100.00%,24.00%,18.50,-23.12,-134.97
738,Punta Arenas,76.76,100.00%,24.00%,18.50,-23.12,-134.97
739,Bluff,83.87,100.00%,0.00%,5.41,-16.48,-151.75
740,Atuona,20.42,81.00%,56.00%,3.29,58.61,125.39
741,Busselton,36.00,94.00%,0.00%,11.79,53.68,23.83
742,Ahipara,41.84,76.00%,0.00%,7.99,34.57,105.89
743,Roald,49.94,99.00%,92.00%,4.18,36.2,37.17
744,Saint-Philippe,65.24,93.00%,88.00%,3.29,-3.6,30.5
745,Mahebourg,81.80,100.00%,32.00%,10.78,-9.8,-139.03
746,Comodoro Rivadavia,23.00,73.00%,80.00%,18.34,65.61,-37.64
747,Tateyama,76.76,100.00%,24.00%,18.50,-23.12,-134.97
748,Ribeira Grande,55.18,62.00%,75.00%,17.22,-53.16,-70.91
749,Tateyama,52.54,47.00%,0.00%,5.82,45.6,-0.6
750,Porto Walter,-3.53,85.00%,44.00%,4.41,77.48,-69.36
751,Kavaratti,53.02,66.00%,75.00%,10.29,-42.88,147.33
752,Saint Helens,62.09,84.00%,0.00%,3.40,-25.17,45.06
753,Mao,76.41,83.00%,40.00%,8.05,-20.41,57.7
754,Belmonte,65.33,90.00%,0.00%,1.05,15.34,74.49
755,Hasaki,35.42,37.00%,1.00%,5.82,41.47,-87.06
756,Prieska,70.55,93.00%,92.00%,12.24,-35.17,173.16
757,Bethel,59.30,100.00%,68.00%,24.87,38.52,-28.7
758,Mana,68.70,47.00%,80.00%,12.01,-33.64,115.35
759,Mahebourg,50.81,71.00%,75.00%,9.17,-54.81,-68.31
760,Illoqqortoormiut,39.78,100.00%,90.00%,10.29,47.66,-52.73
761,Golfito,76.22,96.00%,88.00%,4.85,-10.41,-36.43
762,Mys Shmidta,67.04,39.00%,76.00%,10.67,-46.43,-67.52
763,Geresk,71.54,91.00%,20.00%,4.29,-10.94,39.28
764,Asau,50.88,87.00%,20.00%,4.70,34.92,32.53
765,Kapaa,77.20,69.00%,90.00%,5.82,19.71,-155.08
766,Billings,77.12,87.00%,0.00%,3.51,22.29,89.96
767,Ukiah,58.50,87.00%,0.00%,5.82,37.14,-8.45
768,Odweyne,82.40,69.00%,32.00%,5.82,-13.85,136.42
769,Geraldton,39.78,100.00%,90.00%,10.29,47.66,-52.73
770,Albany,76.76,100.00%,24.00%,18.50,-23.12,-134.97
771,Santa Marta,75.59,97.00%,0.00%,3.74,-7.94,110.25
772,Chalons-En-Champagne,35.60,93.00%,90.00%,17.22,65.28,-126.83
773,Russell,55.00,68.00%,24.00%,8.01,-46.19,168.86
774,Qaanaaq,-3.53,85.00%,44.00%,4.41,77.48,-69.36
775,Busselton,36.66,86.00%,20.00%,2.24,54.78,-1.58
776,Hofn,59.30,100.00%,68.00%,24.87,38.52,-28.7
777,Albany,8.60,71.00%,75.00%,4.70,63.75,-68.52
778,Cape Town,55.13,82.00%,20.00%,14.99,37.72,-25.43
779,Provideniya,86.00,70.00%,40.00%,13.87,-0.9,-89.6
780,Broome,78.29,100.00%,56.00%,3.18,-5.2,-35.46
781,Sabang,57.50,80.00%,20.00%,4.29,-33.21,138.6
782,Arraial Do Cabo,46.85,53.00%,75.00%,4.70,42.94,-6.32
783,Luderitz,59.00,88.00%,88.00%,5.01,-34.42,19.24
784,Ushuaia,57.20,87.00%,90.00%,6.93,-42.48,-73.76
785,Busselton,76.76,100.00%,24.00%,18.50,-23.12,-134.97
786,Bluff,59.30,100.00%,68.00%,24.87,38.52,-28.7
787,Hermanus,76.76,100.00%,24.00%,18.50,-23.12,-134.97
788,Hofn,18.26,65.00%,0.00%,3.40,62.22,135.8
789,Chuy,86.00,79.00%,20.00%,3.36,-13.87,-171.6
